Tair,Humidity,Pressure,WindDirection,WindSpeed,GlobalRadiation
-3.7,49,101810.0,0,0.2,0.0
-3.8,48,101810.0,0,0.4,0.0
-4.1,45,101740.0,20,0.5,0.0
-4.3,51,101770.0,290,1.2,0.0
-4.5,55,101820.0,290,0.9,0.0
-4.9,56,101840.0,290,0.6,0.0
-5.2,57,101830.0,270,1.3,0.0
-5.5,59,101810.0,0,0.2,0.0
-5.9,57,101800,20,0.7,0.0
-6.2,56,101800,20,0.6,0.0
-6,52,101810.0,360,0.5,0.0
-5.4,51,101860.0,50,0.9,61.111116
-2.3,46,101880.0,180,1.6,205.555572
-0.5,40,101870.0,320,2,316.666692
0.6,33,101770.0,320,2.8,427.77781200000004
1.4,31,101720.0,320,2.4,441.66670200000004
1.7,34,101680.0,320,3.6,386.111142
2.6,34,101660.0,290,3,322.222248
2.7,31,101660.0,290,1.9,180.55557000000002
1.7,29,101660.0,320,1.8,75.00000600000001
0.6,34,101660.0,290,1.1,2.777778
0.2,41,101640.0,290,1.6,0.0
-0.3,55,101670.0,290,2,0.0
-0.6,63,101660.0,290,0.9,0.0
-1.4,64,101640.0,290,0.8,0.0
-1.9,52,101650.0,320,0.8,0.0
-2.2,43,101640.0,290,1.8,0.0
-2.5,46,101630.0,320,1,0.0
-2.6,39,101690.0,340,1.8,0.0
-3.1,34,101740.0,320,1.6,0.0
-4.2,36,101730.0,290,0.8,0.0
-4.9,38,101710.0,180,0.5,0.0
-5.3,38,101680.0,230,0.6,0.0
-5.4,40,101690.0,270,0.8,0.0
-5.6,42,101710.0,290,0.6,0.0
-4.6,40,101750.0,270,2.3,66.666672
-2.9,36,101810.0,290,2,230.555574
-2.1,32,101810.0,320,3.3,372.222252
-0.9,27,101720.0,290,2.7,469.444482
-0.2,26,101680.0,290,3.2,505.55559600000004
-0.4,23,101620.0,290,4.9,483.333372
0.3,20,101680.0,290,3.4,397.222254
0.2,23,101750.0,290,5.2,269.444466
-0.8,21,101730.0,290,5,108.33334200000002
-2,21,101720.0,290,3,2.777778
-3.2,21,101860.0,290,5.1,0.0
-5,32,101950.0,320,6.5,0.0
-5.7,34,102050.0,320,2.1,0.0
-6.6,35,102080.0,90,0.6,0.0
-7.1,34,102130.0,320,1.8,0.0
-7,34,102200,340,2,0.0
-7.5,34,102220.0,290,1.1,0.0
-7.7,34,102280.0,290,2.5,0.0
-7.6,31,102330.0,360,1.9,0.0
-8.3,32,102340.0,340,0.7,0.0
-8.8,33,102370.0,50,1.1,0.0
-9.2,35,102409.99999999999,360,0.8,0.0
-9.3,36,102450.0,20,0.5,0.0
-9.3,37,102450.0,20,0.9,0.0
-8.6,35,102490.00000000001,50,1.5,77.77778400000001
-6.2,31,102530.0,50,1,236.11113
-3.6,27,102490.00000000001,50,1.2,352.777806
-2.4,25,102370.0,50,1.6,358.333362
-1.9,23,102270.0,50,1.4,297.22224600000004
-0.8,20,102180.0,20,0.8,361.11114000000003
0.7,19,102170.0,200,1.3,313.888914
0.8,20,102120.0,320,1.4,241.666686
-0.4,22,102060.0,320,1.9,108.33334200000002
-2,24,102040.0,290,1.4,5.555556
-2.8,27,102020.0,270,0.8,0.0
-3.4,29,102000,290,1.7,0.0
-4,30,101960.0,290,1.6,0.0
-4.2,30,101960.0,270,1.6,0.0
-4.4,30,101910.0,270,1.7,0.0
-4.3,31,101840.0,270,1.4,0.0
-4.1,31,101780.0,290,1.2,0.0
-3.9,31,101780.0,290,2.6,0.0
-4.2,30,101760.0,250,1.4,0.0
-4,29,101700,290,1.7,0.0
-4.1,30,101640.0,270,2.2,0.0
-4.2,31,101630.0,0,0.4,0.0
-4.3,30,101620.0,360,0.5,0.0
-4.1,32,101590.0,20,0.5,0.0
-3.8,33,101600,20,0.6,50.000004
-2.2,32,101620.0,340,1,133.333344
-1,32,101610.0,0,0.4,138.8889
2,36,101510.0,290,1.6,408.333366
2.2,43,101420.0,230,2.5,311.11113600000004
1.9,39,101380.0,290,3,169.444458
2.3,50,101390.0,290,3,194.44446
2.7,51,101420.0,250,2.7,177.777792
2.2,54,101450.0,270,1.8,58.333338
1.5,60,101460.0,290,1.6,2.777778
1,65,101530.0,270,1.6,0.0
0.8,69,101580.0,200,1.9,0.0
0.6,75,101540.0,230,0.8,0.0
0.6,77,101530.0,0,0.3,0.0
0.5,78,101510.0,20,0.7,0.0
0.6,75,101520.0,270,0.7,0.0
0.7,75,101530.0,290,0.6,0.0
0.8,74,101540.0,0,0.4,0.0
0.6,75,101550.0,320,0.7,0.0
0.3,76,101530.0,0,0.4,0.0
0.1,76,101520.0,20,0.6,0.0
0.1,75,101560.0,20,1,0.0
-0.1,76,101620.0,20,0.6,0.0
-0.3,78,101610.0,20,1.1,0.0
-0.2,75,101610.0,50,1.3,52.777782
1.1,66,101640.0,70,1.3,175.00001400000002
2.9,56,101610.0,90,1.3,333.33336
4.7,47,101560.0,110,1.2,413.88892200000004
5.9,42,101490.0,270,0.8,455.555592
6.8,41,101370.0,340,0.9,419.444478
6.5,43,101370.0,340,0.9,313.888914
6,43,101340.0,50,0.8,138.8889
5,45,101310.0,50,1.2,61.111116
4.3,45,101350.0,340,1.2,5.555556
3.7,47,101360.0,290,2.2,0.0
2.9,49,101320.0,320,1.2,0.0
2.2,52,101230.0,360,0.6,0.0
1.6,54,101190.0,290,1.5,0.0
1.6,54,101200,320,0.6,0.0
1.2,58,101140.0,0,0.4,0.0
1.5,52,101120.0,0,0.2,0.0
1.4,56,101130.0,290,0.6,0.0
1.5,54,101160.0,0,0.4,0.0
1.4,52,101130.0,0,0.4,0.0
1.5,53,101130.0,20,0.8,0.0
1.5,54,101160.0,0,0.3,0.0
1.3,53,101200,0,0.3,0.0
1,56,101200,360,0.7,0.0
1.3,51,101220.0,0,0.4,47.222226000000006
2.5,52,101260.0,270,1.5,138.8889
3.8,46,101230.0,270,1,222.22224000000003
5.7,37,101160.0,290,1.3,388.88892
6.8,35,101100,290,2,391.666698
7,35,101080.0,290,2.9,366.66669600000006
7.8,33,101060.0,290,1.8,355.555584
6.9,34,101160.0,250,1.7,147.22223400000001
5.5,42,101250.0,270,2.9,77.77778400000001
3.8,46,101300,290,2.8,5.555556
2.7,48,101290.0,340,1.1,0.0
2.2,45,101310.0,290,1.6,0.0
1.4,50,101300,290,2.7,0.0
0.7,53,101320.0,270,1,0.0
0,53,101310.0,20,0.5,0.0
-0.6,56,101350.0,290,1.3,0.0
-1,60,101390.0,270,1.9,0.0
-0.8,61,101470.0,270,1.4,0.0
-1.4,60,101480.0,270,0.8,0.0
-2.2,59,101430.0,50,0.6,0.0
-2.6,62,101410.0,360,0.9,0.0
-2.9,64,101400,360,0.7,0.0
-2.9,63,101420.0,20,0.5,0.0
-2.9,64,101470.0,360,0.5,0.0
-2.4,56,101540.0,0,0.4,61.111116
-0.3,51,101570.0,270,1.5,208.33335
2.5,42,101570.0,270,1.6,341.666694
4,32,101490.0,290,1.6,436.111146
6.3,31,101400,200,2.3,477.77781600000003
7,26,101390.0,290,2.4,469.444482
7.1,25,101410.0,270,3,391.666698
7.2,26,101380.0,290,1.7,263.88891
5.7,31,101420.0,290,1.5,108.33334200000002
4.3,45,101450.0,250,1.3,11.111112
3.1,63,101510.0,0,0.3,0.0
2.1,71,101520.0,250,0.9,0.0
1.4,75,101520.0,290,1.8,0.0
0.9,78,101540.0,270,1,0.0
0.3,74,101570.0,270,1.4,0.0
-0.2,77,101580.0,0,0.2,0.0
-0.7,78,101560.0,270,1.3,0.0
-1,79,101570.0,290,0.8,0.0
-1,78,101590.0,0,0.1,0.0
