Tair,Humidity,Pressure,WindDirection,WindSpeed,GlobalRadiation
-8.1,73,102050.0,320,1.1,0.0
-8.7,74,102040.0,320,0.9,0.0
-8.9,76,102030.0,320,0.7,0.0
-9.1,76,102060.0,320,1.2,0.0
-9.7,77,102040.0,0,0,0.0
-10.1,82,102000,290,0.6,0.0
-11,83,102050.0,270,1.2,0.0
-11,83,102080.0,320,1,0.0
-11.2,85,102130.0,270,0.5,2.777778
-9.6,80,102180.0,0,0.2,113.888898
-6.7,59,102230.0,180,1.5,305.55558
-5,42,102230.0,320,1.1,433.33336800000006
-3.2,25,102120.0,340,2.3,516.6667080000001
-2,25,102010.0,320,3.3,575.000046
-1.4,26,102000,340,2.7,533.333376
-0.4,28,101950.0,340,2.7,450.0000360000001
-0.2,30,101960.0,320,2.9,308.33335800000003
-1.4,35,101990.0,320,2.7,116.666676
-2.9,45,101970.0,320,1.8,5.555556
-3.2,51,102010.0,250,1.3,0.0
-4.1,55,101970.0,230,1.1,0.0
-4.6,59,101940.0,230,0.8,0.0
-6.1,67,101890.0,320,0.7,0.0
-6.7,69,101870.0,320,0.5,0.0
-7.5,74,101910.0,270,1.5,0.0
-8.1,78,101920.0,0,0.1,0.0
-8.7,81,101990.0,270,1.1,0.0
-9.2,82,101980.0,290,1,0.0
-9.7,83,101950.0,320,0.8,0.0
-9.8,85,101930.0,0,0,0.0
-9.5,83,101950.0,0,0.3,0.0
-9.9,84,101930.0,290,1.4,0.0
-10.1,85,101890.0,320,1.6,2.777778
-8.4,78,102000,0,0.1,125.00001
-6.8,72,102020.0,250,0.8,166.66668
-3.5,57,101860.0,180,1.1,455.555592
-0.7,50,101710.0,270,0.6,533.333376
2.4,47,101580.0,160,1.7,483.333372
2.4,57,101530.0,200,2.4,511.11115200000006
1.9,60,101530.0,180,2.5,280.555578
2.1,61,101520.0,180,2.5,183.33334800000003
1.3,67,101570.0,290,1,69.44445
0.4,77,101490.0,180,2,5.555556
0.1,79,101480.0,200,1.4,0.0
0.2,79,101510.0,0,0.2,0.0
0,79,101470.0,200,1.3,0.0
-0.1,81,101480.0,200,1.1,0.0
-0.1,80,101480.0,250,1,0.0
-0.5,79,101460.0,250,1.2,0.0
-0.5,77,101420.0,200,1.9,0.0
-0.7,78,101370.0,200,1.8,0.0
-0.5,76,101410.0,200,1.5,0.0
-1,78,101380.0,320,1.4,0.0
-0.8,71,101410.0,320,3.9,0.0
-1.6,58,101440.0,340,3.5,0.0
-2.5,61,101500,320,3.8,0.0
-3.4,63,101580.0,320,1,0.0
-2.7,60,101680.0,320,2.6,75.00000600000001
-2,53,101710.0,320,3.3,266.666688
-2,45,101700,320,3.2,372.222252
-2,43,101650.0,290,4.1,466.666704
-2.1,44,101620.0,320,4.1,475.000038
-2.1,36,101610.0,320,4.8,544.444488
-1.6,36,101620.0,320,3.6,486.11115
-2.6,41,101730.0,340,3.4,288.888912
-4.2,43,101820.0,340,4.5,119.44445400000001
-5.5,48,101860.0,340,2.2,5.555556
-6.2,54,101860.0,340,2.9,0.0
-6.7,58,101920.0,320,3,0.0
-7.1,62,101930.0,360,0.7,0.0
-7.5,57,101990.0,20,1.4,0.0
-8.4,56,102000,0,0.4,0.0
-9,62,101990.0,320,0.8,0.0
-9.2,63,101990.0,340,1.2,0.0
-9.8,64,102020.0,320,1.4,0.0
-10.5,69,102030.0,320,1.2,0.0
-10.8,71,102010.0,360,0.6,0.0
-11.1,71,102010.0,340,0.6,0.0
-11.4,73,101990.0,0,0.3,0.0
-12.2,78,102060.0,320,1.7,0.0
-12.2,80,102040.0,0,0.4,2.777778
-10.7,72,102070.0,0,0.3,122.222232
-8.3,56,102060.0,200,1.1,311.11113600000004
-6.1,46,101990.0,360,1,425.000034
-4.9,32,101850.0,340,1.9,527.77782
-4.1,25,101770.0,340,2.5,583.33338
-3.3,23,101690.0,320,3.2,550.000044
-2.4,20,101650.0,290,2.4,450.0000360000001
-2.3,24,101630.0,340,3,305.55558
-3.3,26,101620.0,320,3.4,141.66667800000002
-4.7,31,101630.0,340,1.5,11.111112
-6.2,36,101660.0,340,1.3,0.0
-6.9,40,101640.0,290,1.1,0.0
-7.4,39,101600,0,0.1,0.0
-7.3,39,101560.0,340,0.7,0.0
-8.3,50,101540.0,320,1.4,0.0
-8.5,53,101530.0,0,0.1,0.0
-8.5,58,101510.0,270,1.3,0.0
-8.6,59,101440.0,0,0,0.0
-8.6,58,101410.0,320,1.6,0.0
-8.9,62,101340.0,0,0.2,0.0
-9.3,65,101270.0,270,0.5,0.0
-9.5,67,101250.0,0,0.1,0.0
-9.5,67,101230.0,250,0.9,0.0
-8.9,66,101160.0,320,1,2.777778
-7.5,57,101180.0,0,0.3,52.777782
-5.9,51,101130.0,0,0.3,169.444458
-3.5,39,101030.0,0,0.4,325.000026
-0.9,38,100890.0,180,1.1,466.666704
0.3,42,100810.0,180,2.1,469.444482
-0.9,63,100800,200,2.2,236.11113
-1.4,64,100790.0,180,3.5,241.666686
-1,64,100750.0,180,3.5,213.88890600000002
-1.3,70,100760.0,180,1.5,97.22223
-1.8,75,100750.0,180,1.8,8.333334
-2.2,77,100790.0,200,1.9,0.0
-2.3,75,100830.0,200,1.6,0.0
-1.9,69,100770.0,200,1.9,0.0
-2.3,70,100780.0,230,0.8,0.0
-2.3,86,100850.0,290,1.5,0.0
-2.7,78,100870.0,320,3.4,0.0
-3.3,76,100980.0,340,3.4,0.0
-3.9,64,101040.0,320,3.2,0.0
-5.1,71,101110.0,340,2.7,0.0
-6.1,75,101150.0,340,2.7,0.0
-6.9,69,101200,360,1.5,0.0
-7.5,67,101250.0,340,1.8,0.0
-8.4,66,101330.0,320,1.6,0.0
-8.7,68,101400,320,1.4,2.777778
-7.1,48,101480.0,320,2.2,105.555564
-5.5,38,101550.0,320,2.9,283.33335600000004
-4.7,34,101580.0,340,3.8,438.88892400000003
-4.2,28,101510.0,320,4.3,544.444488
-3.8,28,101450.0,340,3.2,580.555602
-2.9,29,101420.0,320,3.6,547.222266
-2.5,29,101420.0,320,2.5,477.77781600000003
-2.8,32,101460.0,320,4.4,327.777804
-3.9,37,101480.0,340,2.7,136.111122
-5.3,43,101560.0,320,1.4,8.333334
-6.3,48,101580.0,320,2.2,0.0
-6.9,50,101640.0,320,1.4,0.0
-7.5,54,101680.0,320,1.2,0.0
-7.6,56,101740.0,230,1,0.0
-8.3,61,101750.0,0,0,0.0
-8.8,65,101710.0,250,1.3,0.0
-9.8,71,101770.0,320,0.9,0.0
-9.8,72,101790.0,0,0.1,0.0
-10.4,75,101840.0,320,1.1,0.0
-10.8,78,101840.0,290,1.7,0.0
-11.2,80,101820.0,0,0.4,0.0
-11.7,81,101830.0,0,0.2,0.0
-12.1,83,101880.0,290,1.5,0.0
-12.2,83,101880.0,270,1.2,5.555556
-9.9,75,101940.0,0,0.2,108.33334200000002
-7.4,56,101950.0,0,0.3,308.33335800000003
-4.3,30,101920.0,320,0.6,422.222256
-1.6,29,101870.0,140,1.6,525.000042
-1.6,32,101750.0,340,2.7,555.5556
-1.3,30,101730.0,360,2.6,513.8889300000001
-0.9,28,101680.0,360,2,458.33337
0,26,101710.0,140,0.7,316.666692
-0.8,28,101730.0,90,0.8,125.00001
-2.1,34,101730.0,340,0.8,8.333334
-3.4,43,101780.0,250,1.1,0.0
-3.8,46,101810.0,270,1,0.0
-4.8,52,101840.0,320,1.1,0.0
-5.6,55,101860.0,290,0.8,0.0
-6.6,62,101910.0,0,0.1,0.0
-7.3,66,101920.0,0,0.4,0.0
-7.8,68,101950.0,290,0.7,0.0
-8.4,70,101940.0,290,0.8,0.0
-8.6,73,101910.0,320,0.6,0.0
-8.9,74,101840.0,0,0.1,0.0
-9.2,75,101770.0,320,1.2,0.0
-9.1,74,101760.0,0,0.2,0.0
