Tair,Humidity,Pressure,WindDirection,WindSpeed,GlobalRadiation
-6.8,47,0,270,2.1,97.22223
-7.1,52,1013.1,290,2.3,19.444446000000003
-7.2,55,0,270,2.5,0.0
-7.1,58,0,250,2.1,0.0
-7.1,60,1012.7,230,2,0.0
-7,62,0,250,1.2,0.0
-6.8,63,0,160,0.7,0.0
-6.4,70,1012.7,180,0.9,0.0
-6.3,75,0,110,1,0.0
-6.5,84,0,50,1.5,0.0
-6.8,86,1012.3,50,1.1,0.0
-6.7,85,0,20,1.2,0.0
-6.3,86,0,50,2,0.0
-6.4,87,1012.3,50,2,0.0
-5.7,87,0,50,2.4,0.0
-5.7,88,0,50,2.2,0.0
-5.5,92,1013,50,2.2,5.555556
-4.1,84,0,20,2.2,33.333336
-2.9,73,0,50,2.2,127.77778800000002
-2.2,67,1013.1,320,3.5,166.66668
-1.2,60,0,320,4.3,147.22223400000001
-1.2,61,0,270,4.7,213.88890600000002
-0.3,54,1012.4,290,4.7,194.44446
-0.8,57,0,270,4.2,166.66668
-1.4,57,0,290,3.3,102.777786
-1.8,57,1013.1,290,2.8,25.000002
-2.3,61,0,270,3.4,0.0
-2.5,65,0,270,2.9,0.0
-3.1,67,1014.4,320,0.6,0.0
-3.8,74,0,20,1,0.0
-3.5,73,0,20,0.7,0.0
-4.6,78,1014.5,50,2.2,0.0
-4.2,73,0,50,2.1,0.0
-4.5,71,0,50,1.8,0.0
-5.7,73,1014.2,50,0.7,0.0
-4.9,71,0,50,1.7,0.0
-5,73,0,50,1.5,0.0
-5.5,77,1014.3,50,1.8,0.0
-4.9,74,0,50,2.7,0.0
-5.3,74,0,70,3.1,0.0
-4.9,70,1013.5,70,2.4,5.555556
-3.4,63,0,70,2.5,36.111114
-2.6,62,0,70,2.8,58.333338
-1.5,58,1013,50,3.4,111.11112000000001
-0.5,56,0,70,3.9,144.444456
0.2,54,0,70,2.3,130.555566
0.8,50,1010.4,70,0.9,144.444456
0.6,54,0,50,0.7,77.77778400000001
0.6,54,0,0,0,38.888892000000006
0.5,54,1009.9,70,0.5,11.111112
0.8,58,0,360,0.8,0.0
0.4,61,0,290,2.3,0.0
0.4,61,1010.2,20,1.7,0.0
0.5,61,0,50,0.8,0.0
1,60,0,320,2,0.0
0.4,65,1010.4,270,2,0.0
0.4,64,0,270,1.7,0.0
0.2,68,0,270,2,0.0
0.4,69,1010.4,250,3.2,0.0
0.3,68,0,230,3,0.0
0.1,76,0,250,2.4,0.0
0.2,82,1011.8,270,2,0.0
-0.6,80,0,290,1.1,0.0
-1.2,82,0,320,3.7,0.0
-1.6,85,1014.3,320,3.5,8.333334
-1.2,76,0,320,3.7,36.111114
-0.5,67,0,290,2.9,116.666676
0.5,54,1015.5,290,4.6,200.000016
0.8,49,0,270,3.6,250.00002
1.3,44,0,290,2.6,263.88891
2,42,1014.6,270,3.2,244.444464
0.6,43,0,270,4.6,180.55557000000002
0,45,0,270,4.7,111.11112000000001
-0.8,47,1016.1,290,2.6,30.555558
-1.6,56,0,320,4.2,0.0
-2.4,59,0,320,3,0.0
-2.5,61,1017.8,320,2.8,0.0
-3.3,64,0,290,3.2,0.0
-3.5,62,0,290,1.8,0.0
-4.8,66,1018.1,20,1.7,0.0
-4.6,62,0,70,2.5,0.0
-5.1,64,0,70,2.8,0.0
-6,69,1017.9,50,1,0.0
-5.4,69,0,20,0.3,0.0
-5.5,69,0,20,2.1,0.0
-6.4,73,1017.6,50,2.2,0.0
-5.9,72,0,50,2,0.0
-6.3,74,0,50,2.5,0.0
-5.5,77,1018.4,50,2.2,11.111112
-2.6,56,0,70,3.2,72.222228
-0.4,51,0,70,3.1,152.77779
1.1,47,1016.9,70,3.6,194.44446
2.8,43,0,70,3.6,191.66668199999998
4.1,40,0,70,4.4,202.777794
4.9,40,1015,70,3.3,177.777792
4.2,43,0,70,3.1,108.33334200000002
3.8,45,0,70,3.1,52.777782
3.6,47,1015,70,2.3,13.888890000000002
3.2,48,0,70,2.5,0.0
3.4,50,0,70,2.8,0.0
3.4,52,1014.2,70,3.6,0.0
3.2,52,0,70,3.2,0.0
3.1,55,0,70,3.2,0.0
2.9,58,1014.6,70,3.2,0.0
