Tair,Humidity,Pressure,WindDirection,WindSpeed,GlobalRadiation
1.6,81,1013.2,20,0.7,0.0
1.1,82,1013,360,0.7,0.0
0.8,82,1013,20,0.9,0.0
0.4,84,1013.3,360,0.9,0.0
0.1,85,1013.6,50,1.5,2.777778
1,77,1013.7,50,1.7,69.44445
2.5,73,1012.9,50,2.6,116.666676
5.8,58,1013.2,90,1.2,297.22224600000004
7.9,51,1012.1,20,0.9,377.77780800000005
8.7,49,1010.5,340,1,375.00003000000004
9.4,51,1009.7,290,2.9,333.33336
9.3,51,1008.9,270,1.9,230.555574
9.2,51,1008.8,290,2.5,177.777792
8.2,55,1008.4,270,1.8,77.77778400000001
6.6,60,1008.3,270,1.5,11.111112
5.8,61,1008.3,270,1.4,0.0
5,60,1008.1,50,1.8,0.0
4.4,59,1008.4,50,1.4,0.0
4.1,61,1008.7,50,1.6,0.0
3.8,64,1009,50,2.6,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
0,0,0,0,0,0.0
