Time,Tair(`C),Humidity(%),Pressure(hPa),WindDirection(Deg),WindSpeed(m/s),GlobalRadiation(MJ/m^2)
2015-01-01 00:00,99.9,999,9999.99,290,6.1,0
2015-01-01 01:00,-7.4,33,1011.8,290,4.7,0
2015-01-01 02:00,-8,35,1011.7,290,4.5,0
2015-01-01 03:00,-8.4,37,1012.1,290,3.8,0
2015-01-01 04:00,-8.8,35,1012.3,290,4.9,0
2015-01-01 05:00,-9.1,35,1011.8,290,5.7,0
2015-01-01 06:00,-9.3,36,1012.1,290,5.3,0
2015-01-01 07:00,-9.5,38,1012.6,290,4.5,0
2015-01-01 08:00,-9.8,42,1013.1,270,6.1,0.01
2015-01-01 09:00,-9.5,41,1013.6,290,5.1,0.28
2015-01-01 10:00,-8.6,38,1014.3,290,5.4,0.8
2015-01-01 11:00,-7.9,36,1014.3,290,4.5,1.24
2015-01-01 12:00,-6.7,33,1014,290,4.2,1.55
2015-01-01 13:00,-6.2,33,1013.2,320,6,1.7
2015-01-01 14:00,-5.4,34,1013.1,290,5.7,1.61
2015-01-01 15:00,-4.3,33,1012.9,270,4.4,1.33
2015-01-01 16:00,-4.6,36,1013.5,250,5.2,0.87
2015-01-01 17:00,-5.7,39,1013.8,250,4.9,0.37
2015-01-01 18:00,-6.7,44,1014.5,250,4.2,0.03
2015-01-01 19:00,-7.2,46,1014.9,290,5.4,0
2015-01-01 20:00,-7.7,49,1015,290,2.4,0
2015-01-01 21:00,-8.3,52,1014.9,290,3.2,0
2015-01-01 22:00,-8.5,50,1015.3,290,5.5,0
2015-01-01 23:00,-8.6,52,1015.2,270,4,0
2015-01-02 00:00,-8.7,55,1014.8,270,2.4,0
2015-01-02 01:00,-8.6,57,1014.7,340,1.1,0
2015-01-02 02:00,-8.5,56,1014.5,270,1.8,0
2015-01-02 03:00,-8.6,57,1014.6,250,1.7,0
2015-01-02 04:00,-8.5,59,1013.8,250,2.2,0
2015-01-02 05:00,-8.4,59,1013.8,270,1.7,0
2015-01-02 06:00,-8.3,59,1013.3,270,2.9,0
2015-01-02 07:00,-8.8,63,1013.3,270,1.6,0
2015-01-02 08:00,-8.9,63,1013,290,1.5,0.01
2015-01-02 09:00,-7.6,54,1014.1,270,3,0.2
2015-01-02 10:00,-6.7,48,1014.2,290,2.7,0.46
2015-01-02 11:00,-5.3,43,1014.2,270,3.4,0.99
2015-01-02 12:00,-3.8,37,1013.3,270,5,1.51
2015-01-02 13:00,-3.4,34,1012.9,290,6,1.68
2015-01-02 14:00,-2.8,31,1013.2,290,5.8,1.61
2015-01-02 15:00,-2.2,28,1013.5,290,5.1,1.34
2015-01-02 16:00,-2,29,1014.1,270,5.1,0.87
2015-01-02 17:00,-3.1,32,1014.8,270,4.3,0.37
2015-01-02 18:00,-4.2,34,1015.2,270,4.7,0.03
2015-01-02 19:00,-4.7,38,1015.7,270,4.6,0
2015-01-02 20:00,-5.2,42,1016.2,290,3.1,0
2015-01-02 21:00,-5.7,46,1016.6,320,2.4,0
2015-01-02 22:00,-6.2,47,1016.5,290,2.6,0
2015-01-02 23:00,-6.6,50,1016.3,320,2.6,0
2015-01-03 00:00,-7.3,52,1016.4,270,3.1,0
2015-01-03 01:00,-8.1,56,1016.2,270,2.1,0
2015-01-03 02:00,-8.2,56,1015.9,270,0.6,0
2015-01-03 03:00,-8.4,57,1016.2,320,1.1,0
2015-01-03 04:00,-8.9,59,1015.3,999,0.8,0
2015-01-03 05:00,-9.2,55,1015.2,50,1.9,0
2015-01-03 06:00,-9.1,54,1015.5,0,0.4,0
2015-01-03 07:00,-8.9,57,1015.6,0,0.4,0
2015-01-03 08:00,-8.8,60,1015.7,20,1,0.01
2015-01-03 09:00,-7.6,58,1016.2,50,2.5,0.29
2015-01-03 10:00,-5.5,53,1016.4,50,2.3,0.69
2015-01-03 11:00,-3,43,1015.8,70,2.5,1.09
2015-01-03 12:00,-1.4,38,1014.4,70,2.4,1.46
2015-01-03 13:00,0,38,1012.8,70,2.8,1.62
2015-01-03 14:00,1.6,37,1011.7,70,1.8,1.52
2015-01-03 15:00,2.2,39,1011.1,20,1,1.21
2015-01-03 16:00,2.4,49,1011,230,2.6,0.54
2015-01-03 17:00,1.3,60,1010.8,230,4.3,0.21
2015-01-03 18:00,1,63,1010.2,230,1.6,0.02
2015-01-03 19:00,1,63,1010.2,230,2.4,0
2015-01-03 20:00,1.1,64,1010.1,230,3,0
2015-01-03 21:00,1,69,1009.7,200,3.4,0
2015-01-03 22:00,0.9,73,1009,230,2.9,0
2015-01-03 23:00,0.7,73,1008.8,90,1,0
2015-01-04 00:00,0.7,71,1008.5,140,0.6,0
2015-01-04 01:00,0.9,72,1008.3,70,1.1,0
2015-01-04 02:00,0.9,70,1008.2,70,2.2,0
2015-01-04 03:00,0.5,67,1008,50,2.4,0
2015-01-04 04:00,0.3,67,1007.2,50,2.8,0
2015-01-04 05:00,0.3,66,1006.6,50,2.2,0
2015-01-04 06:00,0.2,66,1006.3,70,3.5,0
2015-01-04 07:00,0.3,65,1006.7,70,3,0
2015-01-04 08:00,0.4,66,1006.9,50,3.1,0
2015-01-04 09:00,0.6,67,1007.4,70,2.5,0.07
2015-01-04 10:00,1.3,65,1007.6,50,3.2,0.27
2015-01-04 11:00,2.5,63,1007.8,50,2.6,0.57
2015-01-04 12:00,3.4,59,1007.2,50,2.3,0.64
2015-01-04 13:00,4.2,59,1006.7,50,2.6,0.78
2015-01-04 14:00,5.6,58,1006.7,90,0.8,0.91
2015-01-04 15:00,8.2,58,1006.7,200,1.3,1.11
2015-01-04 16:00,8.2,61,1007.1,200,1.8,0.69
2015-01-04 17:00,6.6,67,1007.4,290,0.9,0.26
2015-01-04 18:00,4.9,73,1007.8,290,1.1,0.02
2015-01-04 19:00,3.9,77,1008.4,0,0.4,0
2015-01-04 20:00,2.9,81,1008.8,50,1.2,0
2015-01-04 21:00,2.2,82,1009.2,50,1.3,0
2015-01-04 22:00,1.3,86,1009.3,50,1.9,0
2015-01-04 23:00,0.6,89,1009.2,50,2.2,0
2015-01-05 00:00,0.3,89,1008.9,50,2.7,0
2015-01-05 01:00,-0.3,92,1009,50,2.4,0
2015-01-05 02:00,-0.5,95,1010,20,1.7,0
2015-01-05 03:00,-0.7,95,1010.5,50,2.3,0
2015-01-05 04:00,-0.9,95,1010.7,20,2.6,0
2015-01-05 05:00,-0.9,94,1009.9,70,2.7,0
2015-01-05 06:00,-0.5,90,1009.7,70,3.3,0
2015-01-05 07:00,-0.2,87,1008.9,70,3.4,0
2015-01-05 08:00,0,86,1009,70,3.9,0.01
